Teamnum,Teamname,overflow,r1RoundinfoNumberRed,r1RoundinfoNumberBlue,r1RoundinfoNameRed,r1RoundinfoNameBlue,r1AlliancemateNumberRed,r1AlliancemateNumberBlue,r1AlliancemateNameRed,r1AlliancemateNameBlue,r1Opponent1NumberRed,r1Opponent1NumberBlue,r1Opponent1NameRed,r1Opponent1NameBlue,r1Opponent2NumberRed,r1Opponent2NumberBlue,r1Opponent2NameRed,r1Opponent2NameBlue,r2RoundinfoNumberRed,r2RoundinfoNumberBlue,r2RoundinfoNameRed,r2RoundinfoNameBlue,r2AlliancemateNumberRed,r2AlliancemateNumberBlue,r2AlliancemateNameRed,r2AlliancemateNameBlue,r2Opponent1NumberRed,r2Opponent1NumberBlue,r2Opponent1NameRed,r2Opponent1NameBlue,r2Opponent2NumberRed,r2Opponent2NumberBlue,r2Opponent2NameRed,r2Opponent2NameBlue,r3RoundinfoNumberRed,r3RoundinfoNumberBlue,r3RoundinfoNameRed,r3RoundinfoNameBlue,r3AlliancemateNumberRed,r3AlliancemateNumberBlue,r3AlliancemateNameRed,r3AlliancemateNameBlue,r3Opponent1NumberRed,r3Opponent1NumberBlue,r3Opponent1NameRed,r3Opponent1NameBlue,r3Opponent2NumberRed,r3Opponent2NumberBlue,r3Opponent2NameRed,r3Opponent2NameBlue,r4RoundinfoNumberRed,r4RoundinfoNumberBlue,r4RoundinfoNameRed,r4RoundinfoNameBlue,r4AlliancemateNumberRed,r4AlliancemateNumberBlue,r4AlliancemateNameRed,r4AlliancemateNameBlue,r4Opponent1NumberRed,r4Opponent1NumberBlue,r4Opponent1NameRed,r4Opponent1NameBlue,r4Opponent2NumberRed,r4Opponent2NumberBlue,r4Opponent2NameRed,r4Opponent2NameBlue,r5RoundinfoNumberRed,r5RoundinfoNumberBlue,r5RoundinfoNameRed,r5RoundinfoNameBlue,r5AlliancemateNumberRed,r5AlliancemateNumberBlue,r5AlliancemateNameRed,r5AlliancemateNameBlue,r5Opponent1NumberRed,r5Opponent1NumberBlue,r5Opponent1NameRed,r5Opponent1NameBlue,r5Opponent2NumberRed,r5Opponent2NumberBlue,r5Opponent2NameRed,r5Opponent2NameBlue,r6RoundinfoNumberRed,r6RoundinfoNumberBlue,r6RoundinfoNameRed,r6RoundinfoNameBlue,r6AlliancemateNumberRed,r6AlliancemateNumberBlue,r6AlliancemateNameRed,r6AlliancemateNameBlue,r6Opponent1NumberRed,r6Opponent1NumberBlue,r6Opponent1NameRed,r6Opponent1NameBlue,r6Opponent2NumberRed,r6Opponent2NumberBlue,r6Opponent2NameRed,r6Opponent2NameBlue,r7RoundinfoNumberRed,r7RoundinfoNumberBlue,r7RoundinfoNameRed,r7RoundinfoNameBlue,r7AlliancemateNumberRed,r7AlliancemateNumberBlue,r7AlliancemateNameRed,r7AlliancemateNameBlue,r7Opponent1NumberRed,r7Opponent1NumberBlue,r7Opponent1NameRed,r7Opponent1NameBlue,r7Opponent2NumberRed,r7Opponent2NumberBlue,r7Opponent2NameRed,r7Opponent2NameBlue,r8RoundinfoNumberRed,r8RoundinfoNumberBlue,r8RoundinfoNameRed,r8RoundinfoNameBlue,r8AlliancemateNumberRed,r8AlliancemateNumberBlue,r8AlliancemateNameRed,r8AlliancemateNameBlue,r8Opponent1NumberRed,r8Opponent1NumberBlue,r8Opponent1NameRed,r8Opponent1NameBlue,r8Opponent2NumberRed,r8Opponent2NumberBlue,r8Opponent2NameRed,r8Opponent2NameBlue,r9RoundinfoNumberRed,r9RoundinfoNumberBlue,r9RoundinfoNameRed,r9RoundinfoNameBlue,r9AlliancemateNumberRed,r9AlliancemateNumberBlue,r9AlliancemateNameRed,r9AlliancemateNameBlue,r9Opponent1NumberRed,r9Opponent1NumberBlue,r9Opponent1NameRed,r9Opponent1NameBlue,r9Opponent2NumberRed,r9Opponent2NumberBlue,r9Opponent2NameRed,r9Opponent2NameBlue
4174,Atomic Theory,,6,,red 1,,6109,,Punabots,,,4251,,Cougar Robotics,,8498,,The Evil Purple Sox,27,,red 2,,7953,,Vertigo,,,5843,,AutoVortex,,6210,,ViperBots Stryke,,46,,blue 1,,6055,,GearTicks,4924,,Tuxedo Pandas,,6455,,MoHawk Warriors,,64,,red 2,,7591,,Voltage Imagination,,,9755,,HCC-2,,8716,,Techaholix,,73,,blue 2,,7013,,Hot Wired,8911,,Da Vinci Decoders,,3888,,Greased Lightning,,,86,,blue 2,,7152,,Robot Squad,9164,,Zorrobots,,5940,,Rockin' Robots,,104,,red 1,,6312,,GOLDEN TIGERS,,,4625,,Kings and Queens,,7190,,Green Girls,,115,,blue 2,,9753,,Technomancers,9751,,RAMS,,5110,,Wingus & Dingus,,138,,red 1,,5215,,THAT Team,,,4290,,High PHidelity,,8405,,Miller Robotics
4211,The Bombers,,,4,,blue 1,,4924,,Tuxedo Pandas,9757,,Team Tulip,,7953,,Vertigo,,19,,red 2,,4150,,Dark Matter,,,5916,,Bo-Bots,,6134,,Black Frogs,,45,,blue 2,,7398,,BLUE CREW,7182,,Mechanical Paradox,,5064,,Aperture Science,,59,,red 2,,8231,,Skyhawks,,,6565,,Stuffed Dragons,,6987,,Hat Trix,79,,red 1,,6312,,GOLDEN TIGERS,,,6002,,Basilisks,,9751,,RAMS,,88,,blue 2,,5110,,Wingus & Dingus,5890,,e-lemon-ators,,8716,,Techaholix,,,101,,blue 2,,7129,,Robo Raiders,4443,,Sock Monkeys,,542,,WHS Robotics,,128,,red 2,,8911,,Da Vinci Decoders,,,6210,,ViperBots Stryke,,5026,,Tesla Coils,,140,,blue 1,,7013,,Hot Wired,6911,,James Ruse,,5206,,The Knights of Ni,
4251,Cougar Robotics,,,6,,blue 1,,8498,,The Evil Purple Sox,4174,,Atomic Theory,,6109,,Punabots,,,32,,blue 2,,4886,,Robo Junkies,7398,,BLUE CREW,,6055,,GearTicks,,,41,,blue 1,,5206,,The Knights of Ni,9757,,Team Tulip,,7152,,Robot Squad,,49,,red 2,,5026,,Tesla Coils,,,4130,,Robotica Santi,,9751,,RAMS,67,,red 1,,4625,,Kings and Queens,,,3631,,Middle Earth Mechs,,6911,,James Ruse,,90,,blue 1,,6022,,To Be Determined,6312,,GOLDEN TIGERS,,7182,,Mechanical Paradox,,111,,red 2,,6210,,ViperBots Stryke,,,9755,,HCC-2,,5890,,e-lemon-ators,126,,red 1,,5391,,Enigma Puzzlers,,,5972,,Patronum Bots,,3491,,FIX IT,141,,red 2,,4924,,Tuxedo Pandas,,,4997,,Masquerade,,9164,,Zorrobots
4290,High PHidelity,,,7,,blue 2,,6022,,To Be Determined,8339,,Galaxy Robotechs,,7398,,BLUE CREW,,24,,red 2,,7190,,Green Girls,,,8911,,Da Vinci Decoders,,5890,,e-lemon-ators,,36,,blue 1,,542,,WHS Robotics,9753,,Technomancers,,5026,,Tesla Coils,,57,,red 2,,3480,,FrostByte,,,4443,,Sock Monkeys,,9757,,Team Tulip,66,,red 2,,6055,,GearTicks,,,5842,,The Vampires,,8498,,The Evil Purple Sox,,93,,blue 2,,365,,Miracle Workerz,9755,,HCC-2,,3491,,FIX IT,,103,,red 1,,4130,,Robotica Santi,,,4150,,Dark Matter,,3113,,Some Disassembly,114,,red 2,,7591,,Voltage Imagination,,,6312,,GOLDEN TIGERS,,25,,Rock 'n Roll Robots,,138,,blue 1,,8405,,Miller Robotics,4174,,Atomic Theory,,5215,,THAT Team,
4378,Black Box Robotics,,,11,,blue 1,,7182,,Mechanical Paradox,6987,,Hat Trix,,4150,,Dark Matter,,22,,red 2,,9755,,HCC-2,,,5391,,Enigma Puzzlers,,542,,WHS Robotics,37,,red 2,,4130,,Robotica Santi,,,7591,,Voltage Imagination,,6911,,James Ruse,54,,red 2,,3491,,FIX IT,,,4625,,Kings and Queens,,6022,,To Be Determined,70,,red 2,,6134,,Black Frogs,,,25,,Rock 'n Roll Robots,,5206,,The Knights of Ni,,94,,blue 1,,5916,,Bo-Bots,7398,,BLUE CREW,,6002,,Basilisks,,,102,,blue 2,,8911,,Da Vinci Decoders,6455,,MoHawk Warriors,,8405,,Miller Robotics,,113,,red 1,,8231,,Skyhawks,,,5940,,Rockin' Robots,,4997,,Masquerade,,130,,blue 2,,5842,,The Vampires,6565,,Stuffed Dragons,,3480,,FrostByte,
4443,Sock Monkeys,,,9,,blue 1,,5916,,Bo-Bots,8716,,Techaholix,,6911,,James Ruse,,25,,red 1,,4997,,Masquerade,,,5972,,Patronum Bots,,7182,,Mechanical Paradox,47,,red 1,,5842,,The Vampires,,,9164,,Zorrobots,,8231,,Skyhawks,,57,,blue 1,,9757,,Team Tulip,3480,,FrostByte,,4290,,High PHidelity,,78,,red 1,,5940,,Rockin' Robots,,,4924,,Tuxedo Pandas,,6210,,ViperBots Stryke,,91,,blue 2,,5064,,Aperture Science,6455,,MoHawk Warriors,,8339,,Galaxy Robotechs,,101,,red 1,,542,,WHS Robotics,,,7129,,Robo Raiders,,4211,,The Bombers,,122,,blue 2,,6134,,Black Frogs,8498,,The Evil Purple Sox,,5257,,Eagles Xperience,,132,,red 2,,6109,,Punabots,,,6002,,Basilisks,,7953,,Vertigo
4625,Kings and Queens,,,13,,blue 2,,5064,,Aperture Science,5940,,Rockin' Robots,,5391,,Enigma Puzzlers,,31,,red 1,,3888,,Greased Lightning,,,5206,,The Knights of Ni,,8231,,Skyhawks,,42,,blue 2,,8339,,Galaxy Robotechs,5215,,THAT Team,,365,,Miracle Workerz,,,54,,blue 1,,6022,,To Be Determined,3491,,FIX IT,,4378,,Black Box Robotics,,67,,red 2,,4251,,Cougar Robotics,,,3631,,Middle Earth Mechs,,6911,,James Ruse,95,,red 1,,6565,,Stuffed Dragons,,,7013,,Hot Wired,,9753,,Technomancers,,104,,blue 1,,7190,,Green Girls,4174,,Atomic Theory,,6312,,GOLDEN TIGERS,,116,,red 2,,6109,,Punabots,,,4150,,Dark Matter,,3480,,FrostByte,,131,,blue 1,,4886,,Robo Junkies,5110,,Wingus & Dingus,,7591,,Voltage Imagination,
4886,Robo Junkies,,10,,red 2,,9753,,Technomancers,,,7190,,Green Girls,,6455,,MoHawk Warriors,,32,,blue 1,,4251,,Cougar Robotics,7398,,BLUE CREW,,6055,,GearTicks,,40,,red 1,,8498,,The Evil Purple Sox,,,7953,,Vertigo,,6312,,GOLDEN TIGERS,,51,,blue 1,,5215,,THAT Team,6109,,Punabots,,6911,,James Ruse,,75,,red 2,,5843,,AutoVortex,,,5200,,Robots Incorporated,,7129,,Robo Raiders,,89,,blue 2,,4130,,Robotica Santi,5391,,Enigma Puzzlers,,6210,,ViperBots Stryke,,105,,red 2,,7182,,Mechanical Paradox,,,6565,,Stuffed Dragons,,6002,,Basilisks,,119,,blue 1,,6022,,To Be Determined,3888,,Greased Lightning,,9164,,Zorrobots,,,131,,blue 2,,4625,,Kings and Queens,5110,,Wingus & Dingus,,7591,,Voltage Imagination,
4924,Tuxedo Pandas,,,4,,blue 2,,4211,,The Bombers,9757,,Team Tulip,,7953,,Vertigo,,,30,,blue 1,,8716,,Techaholix,6987,,Hat Trix,,5215,,THAT Team,,46,,red 1,,6455,,MoHawk Warriors,,,4174,,Atomic Theory,,6055,,GearTicks,63,,red 1,,5110,,Wingus & Dingus,,,5843,,AutoVortex,,6312,,GOLDEN TIGERS,,78,,blue 1,,6210,,ViperBots Stryke,4443,,Sock Monkeys,,5940,,Rockin' Robots,,96,,red 2,,7190,,Green Girls,,,3888,,Greased Lightning,,9751,,RAMS,,108,,blue 1,,5200,,Robots Incorporated,3491,,FIX IT,,5206,,The Knights of Ni,,123,,red 1,,7013,,Hot Wired,,,8405,,Miller Robotics,,5064,,Aperture Science,141,,red 1,,4251,,Cougar Robotics,,,4997,,Masquerade,,9164,,Zorrobots
4997,Masquerade,,15,,red 1,,3888,,Greased Lightning,,,5890,,e-lemon-ators,,4130,,Robotica Santi,25,,red 2,,4443,,Sock Monkeys,,,5972,,Patronum Bots,,7182,,Mechanical Paradox,48,,red 2,,5257,,Eagles Xperience,,,8405,,Miller Robotics,,5110,,Wingus & Dingus,,58,,blue 2,,365,,Miracle Workerz,25,,Rock 'n Roll Robots,,6055,,GearTicks,,,72,,blue 1,,7190,,Green Girls,5064,,Aperture Science,,7152,,Robot Squad,,85,,red 2,,8911,,Da Vinci Decoders,,,5206,,The Knights of Ni,,7953,,Vertigo,,99,,blue 1,,8716,,Techaholix,3480,,FrostByte,,8339,,Galaxy Robotechs,,,113,,blue 2,,5940,,Rockin' Robots,4378,,Black Box Robotics,,8231,,Skyhawks,,,141,,blue 1,,9164,,Zorrobots,4924,,Tuxedo Pandas,,4251,,Cougar Robotics,
