Teamnum,Teamname,overflow,r1RoundinfoNumberRed,r1RoundinfoNumberBlue,r1RoundinfoNameRed,r1RoundinfoNameBlue,r1AlliancemateNumberRed,r1AlliancemateNumberBlue,r1AlliancemateNameRed,r1AlliancemateNameBlue,r1Opponent1NumberRed,r1Opponent1NumberBlue,r1Opponent1NameRed,r1Opponent1NameBlue,r1Opponent2NumberRed,r1Opponent2NumberBlue,r1Opponent2NameRed,r1Opponent2NameBlue,r2RoundinfoNumberRed,r2RoundinfoNumberBlue,r2RoundinfoNameRed,r2RoundinfoNameBlue,r2AlliancemateNumberRed,r2AlliancemateNumberBlue,r2AlliancemateNameRed,r2AlliancemateNameBlue,r2Opponent1NumberRed,r2Opponent1NumberBlue,r2Opponent1NameRed,r2Opponent1NameBlue,r2Opponent2NumberRed,r2Opponent2NumberBlue,r2Opponent2NameRed,r2Opponent2NameBlue,r3RoundinfoNumberRed,r3RoundinfoNumberBlue,r3RoundinfoNameRed,r3RoundinfoNameBlue,r3AlliancemateNumberRed,r3AlliancemateNumberBlue,r3AlliancemateNameRed,r3AlliancemateNameBlue,r3Opponent1NumberRed,r3Opponent1NumberBlue,r3Opponent1NameRed,r3Opponent1NameBlue,r3Opponent2NumberRed,r3Opponent2NumberBlue,r3Opponent2NameRed,r3Opponent2NameBlue,r4RoundinfoNumberRed,r4RoundinfoNumberBlue,r4RoundinfoNameRed,r4RoundinfoNameBlue,r4AlliancemateNumberRed,r4AlliancemateNumberBlue,r4AlliancemateNameRed,r4AlliancemateNameBlue,r4Opponent1NumberRed,r4Opponent1NumberBlue,r4Opponent1NameRed,r4Opponent1NameBlue,r4Opponent2NumberRed,r4Opponent2NumberBlue,r4Opponent2NameRed,r4Opponent2NameBlue,r5RoundinfoNumberRed,r5RoundinfoNumberBlue,r5RoundinfoNameRed,r5RoundinfoNameBlue,r5AlliancemateNumberRed,r5AlliancemateNumberBlue,r5AlliancemateNameRed,r5AlliancemateNameBlue,r5Opponent1NumberRed,r5Opponent1NumberBlue,r5Opponent1NameRed,r5Opponent1NameBlue,r5Opponent2NumberRed,r5Opponent2NumberBlue,r5Opponent2NameRed,r5Opponent2NameBlue,r6RoundinfoNumberRed,r6RoundinfoNumberBlue,r6RoundinfoNameRed,r6RoundinfoNameBlue,r6AlliancemateNumberRed,r6AlliancemateNumberBlue,r6AlliancemateNameRed,r6AlliancemateNameBlue,r6Opponent1NumberRed,r6Opponent1NumberBlue,r6Opponent1NameRed,r6Opponent1NameBlue,r6Opponent2NumberRed,r6Opponent2NumberBlue,r6Opponent2NameRed,r6Opponent2NameBlue,r7RoundinfoNumberRed,r7RoundinfoNumberBlue,r7RoundinfoNameRed,r7RoundinfoNameBlue,r7AlliancemateNumberRed,r7AlliancemateNumberBlue,r7AlliancemateNameRed,r7AlliancemateNameBlue,r7Opponent1NumberRed,r7Opponent1NumberBlue,r7Opponent1NameRed,r7Opponent1NameBlue,r7Opponent2NumberRed,r7Opponent2NumberBlue,r7Opponent2NameRed,r7Opponent2NameBlue,r8RoundinfoNumberRed,r8RoundinfoNumberBlue,r8RoundinfoNameRed,r8RoundinfoNameBlue,r8AlliancemateNumberRed,r8AlliancemateNumberBlue,r8AlliancemateNameRed,r8AlliancemateNameBlue,r8Opponent1NumberRed,r8Opponent1NumberBlue,r8Opponent1NameRed,r8Opponent1NameBlue,r8Opponent2NumberRed,r8Opponent2NumberBlue,r8Opponent2NameRed,r8Opponent2NameBlue,r9RoundinfoNumberRed,r9RoundinfoNumberBlue,r9RoundinfoNameRed,r9RoundinfoNameBlue,r9AlliancemateNumberRed,r9AlliancemateNumberBlue,r9AlliancemateNameRed,r9AlliancemateNameBlue,r9Opponent1NumberRed,r9Opponent1NumberBlue,r9Opponent1NameRed,r9Opponent1NameBlue,r9Opponent2NumberRed,r9Opponent2NumberBlue,r9Opponent2NameRed,r9Opponent2NameBlue
5026,Tesla Coils,,1,,red 2,,25,,Rock 'n Roll Robots,,,5110,,Wingus & Dingus,,7013,,Hot Wired,,20,,blue 1,,7152,,Robot Squad,6002,,Basilisks,,7591,,Voltage Imagination,,36,,red 2,,9753,,Technomancers,,,4290,,High PHidelity,,542,,WHS Robotics,49,,red 1,,4251,,Cougar Robotics,,,4130,,Robotica Santi,,9751,,RAMS,69,,red 1,,5916,,Bo-Bots,,,6109,,Punabots,,9757,,Team Tulip,,83,,blue 1,,6134,,Black Frogs,7129,,Robo Raiders,,6987,,Hat Trix,,,109,,blue 1,,9164,,Zorrobots,5064,,Aperture Science,,6055,,GearTicks,,,128,,blue 2,,6210,,ViperBots Stryke,8911,,Da Vinci Decoders,,4211,,The Bombers,,144,,red 1,,7190,,Green Girls,,,9755,,HCC-2,,3113,,Some Disassembly
5064,Aperture Science,,,13,,blue 1,,4625,,Kings and Queens,5940,,Rockin' Robots,,5391,,Enigma Puzzlers,,,21,,blue 2,,6109,,Punabots,6565,,Stuffed Dragons,,9751,,RAMS,,45,,red 2,,7182,,Mechanical Paradox,,,7398,,BLUE CREW,,4211,,The Bombers,56,,red 2,,5842,,The Vampires,,,5257,,Eagles Xperience,,6210,,ViperBots Stryke,72,,red 1,,7152,,Robot Squad,,,4997,,Masquerade,,7190,,Green Girls,,91,,blue 1,,4443,,Sock Monkeys,6455,,MoHawk Warriors,,8339,,Galaxy Robotechs,,109,,red 1,,6055,,GearTicks,,,5026,,Tesla Coils,,9164,,Zorrobots,,123,,blue 2,,8405,,Miller Robotics,4924,,Tuxedo Pandas,,7013,,Hot Wired,,,142,,blue 2,,8498,,The Evil Purple Sox,5200,,Robots Incorporated,,6022,,To Be Determined,
5110,Wingus & Dingus,,,1,,blue 1,,7013,,Hot Wired,25,,Rock 'n Roll Robots,,5026,,Tesla Coils,,,29,,blue 2,,5940,,Rockin' Robots,365,,Miracle Workerz,,5200,,Robots Incorporated,,,48,,blue 2,,8405,,Miller Robotics,5257,,Eagles Xperience,,4997,,Masquerade,,63,,red 2,,4924,,Tuxedo Pandas,,,5843,,AutoVortex,,6312,,GOLDEN TIGERS,,71,,blue 1,,8339,,Galaxy Robotechs,4150,,Dark Matter,,5391,,Enigma Puzzlers,,,88,,blue 1,,4211,,The Bombers,5890,,e-lemon-ators,,8716,,Techaholix,,100,,red 2,,6134,,Black Frogs,,,8231,,Skyhawks,,9757,,Team Tulip,115,,red 2,,9751,,RAMS,,,9753,,Technomancers,,4174,,Atomic Theory,131,,red 1,,7591,,Voltage Imagination,,,4625,,Kings and Queens,,4886,,Robo Junkies
5200,Robots Incorporated,,,5,,blue 1,,8405,,Miller Robotics,6002,,Basilisks,,9755,,HCC-2,,29,,red 2,,365,,Miracle Workerz,,,5940,,Rockin' Robots,,5110,,Wingus & Dingus,,39,,blue 2,,3888,,Greased Lightning,5916,,Bo-Bots,,25,,Rock 'n Roll Robots,,53,,red 2,,7182,,Mechanical Paradox,,,5391,,Enigma Puzzlers,,3631,,Middle Earth Mechs,,75,,blue 1,,7129,,Robo Raiders,5843,,AutoVortex,,4886,,Robo Junkies,,87,,red 1,,5972,,Patronum Bots,,,3113,,Some Disassembly,,7591,,Voltage Imagination,,108,,blue 2,,4924,,Tuxedo Pandas,3491,,FIX IT,,5206,,The Knights of Ni,,,120,,blue 1,,542,,WHS Robotics,4130,,Robotica Santi,,7953,,Vertigo,,142,,red 1,,6022,,To Be Determined,,,8498,,The Evil Purple Sox,,5064,,Aperture Science
5206,The Knights of Ni,,,14,,blue 2,,6055,,GearTicks,3480,,FrostByte,,6210,,ViperBots Stryke,,,31,,blue 1,,8231,,Skyhawks,4625,,Kings and Queens,,3888,,Greased Lightning,,,41,,blue 2,,4251,,Cougar Robotics,9757,,Team Tulip,,7152,,Robot Squad,,52,,red 2,,9753,,Technomancers,,,5940,,Rockin' Robots,,7129,,Robo Raiders,,70,,blue 2,,25,,Rock 'n Roll Robots,6134,,Black Frogs,,4378,,Black Box Robotics,,,85,,blue 1,,7953,,Vertigo,8911,,Da Vinci Decoders,,4997,,Masquerade,,108,,red 2,,3491,,FIX IT,,,4924,,Tuxedo Pandas,,5200,,Robots Incorporated,125,,red 1,,3631,,Middle Earth Mechs,,,6987,,Hat Trix,,9755,,HCC-2,140,,red 2,,6911,,James Ruse,,,4211,,The Bombers,,7013,,Hot Wired
5215,THAT Team,,,16,,blue 1,,8911,,Da Vinci Decoders,6312,,GOLDEN TIGERS,,5972,,Patronum Bots,,30,,red 2,,6987,,Hat Trix,,,4924,,Tuxedo Pandas,,8716,,Techaholix,42,,red 1,,365,,Miracle Workerz,,,8339,,Galaxy Robotechs,,4625,,Kings and Queens,,51,,blue 2,,4886,,Robo Junkies,6109,,Punabots,,6911,,James Ruse,,68,,red 1,,6022,,To Be Determined,,,6455,,MoHawk Warriors,,5257,,Eagles Xperience,,82,,blue 1,,25,,Rock 'n Roll Robots,3631,,Middle Earth Mechs,,5842,,The Vampires,,112,,red 1,,5916,,Bo-Bots,,,8498,,The Evil Purple Sox,,7013,,Hot Wired,,127,,blue 2,,6055,,GearTicks,3113,,Some Disassembly,,7152,,Robot Squad,,138,,red 2,,4174,,Atomic Theory,,,4290,,High PHidelity,,8405,,Miller Robotics
5257,Eagles Xperience,,,8,,blue 2,,7591,,Voltage Imagination,5843,,AutoVortex,,9164,,Zorrobots,,18,,red 2,,3491,,FIX IT,,,25,,Rock 'n Roll Robots,,9753,,Technomancers,48,,red 1,,4997,,Masquerade,,,8405,,Miller Robotics,,5110,,Wingus & Dingus,,56,,blue 1,,6210,,ViperBots Stryke,5842,,The Vampires,,5064,,Aperture Science,,,68,,blue 2,,6455,,MoHawk Warriors,5215,,THAT Team,,6022,,To Be Determined,,81,,red 1,,4150,,Dark Matter,,,6911,,James Ruse,,9757,,Team Tulip,,107,,blue 2,,5391,,Enigma Puzzlers,7398,,BLUE CREW,,9751,,RAMS,,122,,red 2,,8498,,The Evil Purple Sox,,,6134,,Black Frogs,,4443,,Sock Monkeys,,137,,blue 1,,5916,,Bo-Bots,6987,,Hat Trix,,5972,,Patronum Bots,
5391,Enigma Puzzlers,,13,,red 2,,5940,,Rockin' Robots,,,5064,,Aperture Science,,4625,,Kings and Queens,,22,,blue 1,,542,,WHS Robotics,9755,,HCC-2,,4378,,Black Box Robotics,,,44,,blue 1,,8716,,Techaholix,6022,,To Be Determined,,6565,,Stuffed Dragons,,,53,,blue 1,,3631,,Middle Earth Mechs,7182,,Mechanical Paradox,,5200,,Robots Incorporated,,71,,red 2,,4150,,Dark Matter,,,5110,,Wingus & Dingus,,8339,,Galaxy Robotechs,89,,red 1,,6210,,ViperBots Stryke,,,4130,,Robotica Santi,,4886,,Robo Junkies,,107,,blue 1,,5257,,Eagles Xperience,7398,,BLUE CREW,,9751,,RAMS,,126,,red 2,,4251,,Cougar Robotics,,,5972,,Patronum Bots,,3491,,FIX IT,,143,,blue 1,,3888,,Greased Lightning,7152,,Robot Squad,,7129,,Robo Raiders,
5842,The Vampires,,3,,red 2,,542,,WHS Robotics,,,7152,,Robot Squad,,3491,,FIX IT,,17,,blue 2,,3113,,Some Disassembly,6022,,To Be Determined,,7013,,Hot Wired,,47,,red 2,,4443,,Sock Monkeys,,,9164,,Zorrobots,,8231,,Skyhawks,56,,red 1,,5064,,Aperture Science,,,5257,,Eagles Xperience,,6210,,ViperBots Stryke,,66,,blue 1,,8498,,The Evil Purple Sox,6055,,GearTicks,,4290,,High PHidelity,,82,,red 2,,3631,,Middle Earth Mechs,,,5215,,THAT Team,,25,,Rock 'n Roll Robots,106,,red 1,,6109,,Punabots,,,9753,,Technomancers,,7591,,Voltage Imagination,,121,,blue 2,,6911,,James Ruse,5890,,e-lemon-ators,,6455,,MoHawk Warriors,,,130,,blue 1,,4378,,Black Box Robotics,6565,,Stuffed Dragons,,3480,,FrostByte,
5843,AutoVortex,,8,,red 1,,9164,,Zorrobots,,,7591,,Voltage Imagination,,5257,,Eagles Xperience,,27,,blue 1,,6210,,ViperBots Stryke,7953,,Vertigo,,4174,,Atomic Theory,,,38,,blue 1,,9751,,RAMS,6987,,Hat Trix,,5890,,e-lemon-ators,,,63,,blue 1,,6312,,GOLDEN TIGERS,4924,,Tuxedo Pandas,,5110,,Wingus & Dingus,,75,,red 1,,4886,,Robo Junkies,,,5200,,Robots Incorporated,,7129,,Robo Raiders,84,,red 1,,8498,,The Evil Purple Sox,,,3480,,FrostByte,,542,,WHS Robotics,98,,red 1,,6022,,To Be Determined,,,5940,,Rockin' Robots,,6911,,James Ruse,,118,,blue 2,,6002,,Basilisks,365,,Miracle Workerz,,8716,,Techaholix,,133,,red 1,,4150,,Dark Matter,,,6455,,MoHawk Warriors,,3631,,Middle Earth Mechs
5890,e-lemon-ators,,,15,,blue 1,,4130,,Robotica Santi,4997,,Masquerade,,3888,,Greased Lightning,,,24,,blue 2,,8911,,Da Vinci Decoders,7190,,Green Girls,,4290,,High PHidelity,,38,,red 2,,6987,,Hat Trix,,,5843,,AutoVortex,,9751,,RAMS,62,,red 1,,8405,,Miller Robotics,,,9164,,Zorrobots,,5972,,Patronum Bots,,77,,blue 2,,7953,,Vertigo,6565,,Stuffed Dragons,,7591,,Voltage Imagination,,88,,red 1,,8716,,Techaholix,,,5110,,Wingus & Dingus,,4211,,The Bombers,,111,,blue 2,,9755,,HCC-2,6210,,ViperBots Stryke,,4251,,Cougar Robotics,,121,,red 1,,6455,,MoHawk Warriors,,,6911,,James Ruse,,5842,,The Vampires,,129,,blue 1,,365,,Miracle Workerz,8231,,Skyhawks,,9753,,Technomancers,
5916,Bo-Bots,,,9,,blue 2,,4443,,Sock Monkeys,8716,,Techaholix,,6911,,James Ruse,,,19,,blue 1,,6134,,Black Frogs,4150,,Dark Matter,,4211,,The Bombers,,39,,red 1,,25,,Rock 'n Roll Robots,,,3888,,Greased Lightning,,5200,,Robots Incorporated,,50,,blue 1,,8911,,Da Vinci Decoders,542,,WHS Robotics,,3113,,Some Disassembly,,69,,red 2,,5026,,Tesla Coils,,,6109,,Punabots,,9757,,Team Tulip,,94,,blue 2,,4378,,Black Box Robotics,7398,,BLUE CREW,,6002,,Basilisks,,112,,red 2,,5215,,THAT Team,,,8498,,The Evil Purple Sox,,7013,,Hot Wired,124,,red 1,,7182,,Mechanical Paradox,,,8339,,Galaxy Robotechs,,7129,,Robo Raiders,,137,,blue 2,,5257,,Eagles Xperience,6987,,Hat Trix,,5972,,Patronum Bots,
5940,Rockin' Robots,,13,,red 1,,5391,,Enigma Puzzlers,,,5064,,Aperture Science,,4625,,Kings and Queens,,29,,blue 1,,5110,,Wingus & Dingus,365,,Miracle Workerz,,5200,,Robots Incorporated,,43,,red 1,,7013,,Hot Wired,,,9755,,HCC-2,,6109,,Punabots,,52,,blue 1,,7129,,Robo Raiders,9753,,Technomancers,,5206,,The Knights of Ni,,78,,red 2,,4443,,Sock Monkeys,,,4924,,Tuxedo Pandas,,6210,,ViperBots Stryke,86,,red 2,,9164,,Zorrobots,,,7152,,Robot Squad,,4174,,Atomic Theory,,98,,blue 1,,6911,,James Ruse,5843,,AutoVortex,,6022,,To Be Determined,,,113,,blue 1,,4997,,Masquerade,4378,,Black Box Robotics,,8231,,Skyhawks,,139,,red 1,,9751,,RAMS,,,8911,,Da Vinci Decoders,,6055,,GearTicks
5972,Patronum Bots,,16,,red 2,,6312,,GOLDEN TIGERS,,,5215,,THAT Team,,8911,,Da Vinci Decoders,,25,,blue 1,,7182,,Mechanical Paradox,4443,,Sock Monkeys,,4997,,Masquerade,,,33,,blue 2,,3480,,FrostByte,7190,,Green Girls,,6134,,Black Frogs,,,62,,blue 2,,9164,,Zorrobots,5890,,e-lemon-ators,,8405,,Miller Robotics,,,76,,blue 1,,8231,,Skyhawks,9755,,HCC-2,,4130,,Robotica Santi,,87,,red 2,,5200,,Robots Incorporated,,,3113,,Some Disassembly,,7591,,Voltage Imagination,110,,red 1,,3631,,Middle Earth Mechs,,,3888,,Greased Lightning,,365,,Miracle Workerz,,126,,blue 1,,3491,,FIX IT,4251,,Cougar Robotics,,5391,,Enigma Puzzlers,,137,,red 2,,6987,,Hat Trix,,,5257,,Eagles Xperience,,5916,,Bo-Bots
6002,Basilisks,,5,,red 1,,9755,,HCC-2,,,5200,,Robots Incorporated,,8405,,Miller Robotics,20,,red 1,,7591,,Voltage Imagination,,,5026,,Tesla Coils,,7152,,Robot Squad,35,,red 2,,6210,,ViperBots Stryke,,,3631,,Middle Earth Mechs,,3113,,Some Disassembly,,55,,blue 1,,4150,,Dark Matter,3888,,Greased Lightning,,8498,,The Evil Purple Sox,,,79,,blue 1,,9751,,RAMS,4211,,The Bombers,,6312,,GOLDEN TIGERS,,94,,red 2,,7398,,BLUE CREW,,,4378,,Black Box Robotics,,5916,,Bo-Bots,,105,,blue 2,,6565,,Stuffed Dragons,7182,,Mechanical Paradox,,4886,,Robo Junkies,,,118,,blue 1,,5843,,AutoVortex,365,,Miracle Workerz,,8716,,Techaholix,,,132,,blue 1,,7953,,Vertigo,6109,,Punabots,,4443,,Sock Monkeys,
6022,To Be Determined,,,7,,blue 1,,4290,,High PHidelity,8339,,Galaxy Robotechs,,7398,,BLUE CREW,,17,,red 1,,7013,,Hot Wired,,,3113,,Some Disassembly,,5842,,The Vampires,44,,red 1,,6565,,Stuffed Dragons,,,5391,,Enigma Puzzlers,,8716,,Techaholix,,54,,blue 2,,4625,,Kings and Queens,3491,,FIX IT,,4378,,Black Box Robotics,,68,,red 2,,5215,,THAT Team,,,6455,,MoHawk Warriors,,5257,,Eagles Xperience,,90,,blue 2,,4251,,Cougar Robotics,6312,,GOLDEN TIGERS,,7182,,Mechanical Paradox,,98,,red 2,,5843,,AutoVortex,,,5940,,Rockin' Robots,,6911,,James Ruse,,119,,blue 2,,4886,,Robo Junkies,3888,,Greased Lightning,,9164,,Zorrobots,,142,,red 2,,5200,,Robots Incorporated,,,8498,,The Evil Purple Sox,,5064,,Aperture Science
6055,GearTicks,,,14,,blue 1,,5206,,The Knights of Ni,3480,,FrostByte,,6210,,ViperBots Stryke,,32,,red 2,,7398,,BLUE CREW,,,4886,,Robo Junkies,,4251,,Cougar Robotics,,46,,blue 2,,4174,,Atomic Theory,4924,,Tuxedo Pandas,,6455,,MoHawk Warriors,,58,,red 2,,25,,Rock 'n Roll Robots,,,365,,Miracle Workerz,,4997,,Masquerade,66,,red 1,,4290,,High PHidelity,,,5842,,The Vampires,,8498,,The Evil Purple Sox,,92,,blue 2,,6109,,Punabots,8231,,Skyhawks,,8405,,Miller Robotics,,109,,red 2,,5064,,Aperture Science,,,5026,,Tesla Coils,,9164,,Zorrobots,,127,,blue 1,,5215,,THAT Team,3113,,Some Disassembly,,7152,,Robot Squad,,,139,,blue 2,,8911,,Da Vinci Decoders,5940,,Rockin' Robots,,9751,,RAMS,
6109,Punabots,,6,,red 2,,4174,,Atomic Theory,,,4251,,Cougar Robotics,,8498,,The Evil Purple Sox,,21,,blue 1,,5064,,Aperture Science,6565,,Stuffed Dragons,,9751,,RAMS,,,43,,blue 2,,9755,,HCC-2,5940,,Rockin' Robots,,7013,,Hot Wired,,51,,red 1,,6911,,James Ruse,,,4886,,Robo Junkies,,5215,,THAT Team,,69,,blue 1,,9757,,Team Tulip,5026,,Tesla Coils,,5916,,Bo-Bots,,,92,,blue 1,,6055,,GearTicks,8231,,Skyhawks,,8405,,Miller Robotics,,106,,red 2,,5842,,The Vampires,,,9753,,Technomancers,,7591,,Voltage Imagination,116,,red 1,,4625,,Kings and Queens,,,4150,,Dark Matter,,3480,,FrostByte,132,,red 1,,4443,,Sock Monkeys,,,6002,,Basilisks,,7953,,Vertigo
6134,Black Frogs,,2,,red 2,,365,,Miracle Workerz,,,6565,,Stuffed Dragons,,3113,,Some Disassembly,,19,,blue 2,,5916,,Bo-Bots,4150,,Dark Matter,,4211,,The Bombers,,33,,red 2,,7190,,Green Girls,,,3480,,FrostByte,,5972,,Patronum Bots,,60,,blue 2,,7398,,BLUE CREW,7152,,Robot Squad,,6455,,MoHawk Warriors,,70,,red 1,,4378,,Black Box Robotics,,,25,,Rock 'n Roll Robots,,5206,,The Knights of Ni,,83,,blue 2,,5026,,Tesla Coils,7129,,Robo Raiders,,6987,,Hat Trix,,100,,red 1,,5110,,Wingus & Dingus,,,8231,,Skyhawks,,9757,,Team Tulip,,122,,blue 1,,4443,,Sock Monkeys,8498,,The Evil Purple Sox,,5257,,Eagles Xperience,,135,,red 1,,8716,,Techaholix,,,7182,,Mechanical Paradox,,4130,,Robotica Santi
6210,ViperBots Stryke,,14,,red 2,,3480,,FrostByte,,,6055,,GearTicks,,5206,,The Knights of Ni,,27,,blue 2,,5843,,AutoVortex,7953,,Vertigo,,4174,,Atomic Theory,,35,,red 1,,6002,,Basilisks,,,3631,,Middle Earth Mechs,,3113,,Some Disassembly,,56,,blue 2,,5257,,Eagles Xperience,5842,,The Vampires,,5064,,Aperture Science,,,78,,blue 2,,4924,,Tuxedo Pandas,4443,,Sock Monkeys,,5940,,Rockin' Robots,,89,,red 2,,5391,,Enigma Puzzlers,,,4130,,Robotica Santi,,4886,,Robo Junkies,111,,red 1,,4251,,Cougar Robotics,,,9755,,HCC-2,,5890,,e-lemon-ators,,128,,blue 1,,5026,,Tesla Coils,8911,,Da Vinci Decoders,,4211,,The Bombers,,136,,red 1,,7398,,BLUE CREW,,,3491,,FIX IT,,6312,,GOLDEN TIGERS
6312,GOLDEN TIGERS,,16,,red 1,,5972,,Patronum Bots,,,5215,,THAT Team,,8911,,Da Vinci Decoders,,26,,blue 2,,8339,,Galaxy Robotechs,3631,,Middle Earth Mechs,,9164,,Zorrobots,,,40,,blue 2,,7953,,Vertigo,4886,,Robo Junkies,,8498,,The Evil Purple Sox,,,63,,blue 2,,5843,,AutoVortex,4924,,Tuxedo Pandas,,5110,,Wingus & Dingus,,79,,red 2,,4211,,The Bombers,,,6002,,Basilisks,,9751,,RAMS,90,,red 1,,7182,,Mechanical Paradox,,,4251,,Cougar Robotics,,6022,,To Be Determined,104,,red 2,,4174,,Atomic Theory,,,4625,,Kings and Queens,,7190,,Green Girls,,114,,blue 1,,25,,Rock 'n Roll Robots,7591,,Voltage Imagination,,4290,,High PHidelity,,,136,,blue 2,,3491,,FIX IT,6210,,ViperBots Stryke,,7398,,BLUE CREW,
6455,MoHawk Warriors,,,10,,blue 2,,7190,,Green Girls,9753,,Technomancers,,4886,,Robo Junkies,,,28,,blue 2,,4130,,Robotica Santi,9757,,Team Tulip,,8498,,The Evil Purple Sox,,46,,red 2,,4924,,Tuxedo Pandas,,,4174,,Atomic Theory,,6055,,GearTicks,60,,red 2,,7152,,Robot Squad,,,7398,,BLUE CREW,,6134,,Black Frogs,,68,,blue 1,,5257,,Eagles Xperience,5215,,THAT Team,,6022,,To Be Determined,,91,,red 1,,8339,,Galaxy Robotechs,,,5064,,Aperture Science,,4443,,Sock Monkeys,102,,red 1,,8405,,Miller Robotics,,,8911,,Da Vinci Decoders,,4378,,Black Box Robotics,121,,red 2,,5890,,e-lemon-ators,,,6911,,James Ruse,,5842,,The Vampires,,133,,blue 1,,3631,,Middle Earth Mechs,5843,,AutoVortex,,4150,,Dark Matter,
6565,Stuffed Dragons,,,2,,blue 1,,3113,,Some Disassembly,365,,Miracle Workerz,,6134,,Black Frogs,,21,,red 1,,9751,,RAMS,,,6109,,Punabots,,5064,,Aperture Science,44,,red 2,,6022,,To Be Determined,,,5391,,Enigma Puzzlers,,8716,,Techaholix,,59,,blue 1,,6987,,Hat Trix,8231,,Skyhawks,,4211,,The Bombers,,77,,red 1,,7591,,Voltage Imagination,,,7953,,Vertigo,,5890,,e-lemon-ators,95,,red 2,,4625,,Kings and Queens,,,7013,,Hot Wired,,9753,,Technomancers,,105,,blue 1,,6002,,Basilisks,7182,,Mechanical Paradox,,4886,,Robo Junkies,,117,,red 2,,9757,,Team Tulip,,,7398,,BLUE CREW,,7190,,Green Girls,130,,red 1,,3480,,FrostByte,,,5842,,The Vampires,,4378,,Black Box Robotics
6911,James Ruse,,9,,red 2,,8716,,Techaholix,,,4443,,Sock Monkeys,,5916,,Bo-Bots,23,,red 2,,8405,,Miller Robotics,,,7129,,Robo Raiders,,3480,,FrostByte,,37,,blue 2,,7591,,Voltage Imagination,4130,,Robotica Santi,,4378,,Black Box Robotics,,51,,red 2,,6109,,Punabots,,,4886,,Robo Junkies,,5215,,THAT Team,,67,,blue 2,,3631,,Middle Earth Mechs,4251,,Cougar Robotics,,4625,,Kings and Queens,,,81,,blue 1,,9757,,Team Tulip,5257,,Eagles Xperience,,4150,,Dark Matter,,,98,,blue 2,,5940,,Rockin' Robots,5843,,AutoVortex,,6022,,To Be Determined,,,121,,blue 1,,5842,,The Vampires,5890,,e-lemon-ators,,6455,,MoHawk Warriors,,140,,red 1,,5206,,The Knights of Ni,,,4211,,The Bombers,,7013,,Hot Wired
6987,Hat Trix,,11,,red 1,,4150,,Dark Matter,,,4378,,Black Box Robotics,,7182,,Mechanical Paradox,30,,red 1,,5215,,THAT Team,,,4924,,Tuxedo Pandas,,8716,,Techaholix,38,,red 1,,5890,,e-lemon-ators,,,5843,,AutoVortex,,9751,,RAMS,,59,,blue 2,,6565,,Stuffed Dragons,8231,,Skyhawks,,4211,,The Bombers,,,74,,blue 1,,365,,Miracle Workerz,9164,,Zorrobots,,542,,WHS Robotics,,83,,red 2,,7129,,Robo Raiders,,,5026,,Tesla Coils,,6134,,Black Frogs,,97,,blue 1,,7152,,Robot Squad,7953,,Vertigo,,25,,Rock 'n Roll Robots,,,125,,blue 1,,9755,,HCC-2,5206,,The Knights of Ni,,3631,,Middle Earth Mechs,,137,,red 1,,5972,,Patronum Bots,,,5257,,Eagles Xperience,,5916,,Bo-Bots
7013,Hot Wired,,,1,,blue 2,,5110,,Wingus & Dingus,25,,Rock 'n Roll Robots,,5026,,Tesla Coils,,17,,red 2,,6022,,To Be Determined,,,3113,,Some Disassembly,,5842,,The Vampires,43,,red 2,,5940,,Rockin' Robots,,,9755,,HCC-2,,6109,,Punabots,61,,red 2,,7953,,Vertigo,,,7190,,Green Girls,,8339,,Galaxy Robotechs,,73,,blue 1,,4174,,Atomic Theory,8911,,Da Vinci Decoders,,3888,,Greased Lightning,,,95,,blue 1,,9753,,Technomancers,4625,,Kings and Queens,,6565,,Stuffed Dragons,,,112,,blue 2,,8498,,The Evil Purple Sox,5215,,THAT Team,,5916,,Bo-Bots,,123,,red 2,,4924,,Tuxedo Pandas,,,8405,,Miller Robotics,,5064,,Aperture Science,,140,,blue 2,,4211,,The Bombers,6911,,James Ruse,,5206,,The Knights of Ni,
7129,Robo Raiders,,12,,red 1,,8231,,Skyhawks,,,9751,,RAMS,,3631,,Middle Earth Mechs,,23,,blue 1,,3480,,FrostByte,8405,,Miller Robotics,,6911,,James Ruse,,34,,red 2,,8911,,Da Vinci Decoders,,,4150,,Dark Matter,,3491,,FIX IT,,52,,blue 2,,5940,,Rockin' Robots,9753,,Technomancers,,5206,,The Knights of Ni,,,75,,blue 2,,5200,,Robots Incorporated,5843,,AutoVortex,,4886,,Robo Junkies,,83,,red 1,,6987,,Hat Trix,,,5026,,Tesla Coils,,6134,,Black Frogs,,101,,blue 1,,4211,,The Bombers,4443,,Sock Monkeys,,542,,WHS Robotics,,,124,,blue 2,,8339,,Galaxy Robotechs,5916,,Bo-Bots,,7182,,Mechanical Paradox,,143,,red 2,,7152,,Robot Squad,,,5391,,Enigma Puzzlers,,3888,,Greased Lightning
